wv flam err
8404.615250665143 4.775158601603112e-19 4.61059662965645e-19
8416.838263863878 4.2273648346032055e-19 4.590718648680783e-19
8429.061277062612 7.400235805277865e-19 4.47585432087345e-19
8441.284290261347 1.0143595181736478e-18 4.1405715227489157e-19
8453.507303460081 6.9453510389132145e-19 4.305851167309419e-19
8465.730316658815 9.296762429916553e-19 3.9874199071705426e-19
8477.95332985755 1.4913522392479897e-19 4.191081015345372e-19
8490.176343056284 4.179098880749427e-19 3.8692198975268503e-19
8502.399356255019 1.0741457550381683e-19 4.064831540467989e-19
8514.622369453753 1.9223101785692268e-19 3.8269618103341844e-19
8526.845382652487 5.104375896386132e-19 4.086171800806255e-19
8539.068395851222 5.00959391403457e-19 3.7551042339351e-19
8551.291409049956 1.573187326643154e-19 4.0411273770163766e-19
8563.51442224869 3.6449406184592287e-19 3.6929476963187063e-19
8575.737435447425 5.33092116448034e-19 3.915808466710646e-19
8587.96044864616 4.0868849144323483e-19 3.6390215750898763e-19
8600.183461844894 6.879575568058219e-19 3.9344033993524985e-19
8612.406475043628 9.024400033971737e-19 3.7004059528687917e-19
8624.629488242363 8.147408057097378e-19 3.933671450643895e-19
8636.852501441097 1.814815237174623e-18 3.6994356078154073e-19
8649.075514639831 5.234050207974145e-19 3.88282260050554e-19
8661.298527838568 5.80598922232731e-19 3.630969809035203e-19
8673.5215410373 7.076414707347871e-19 3.83444574347612e-19
8685.744554236036 7.656643397262928e-19 3.495447601382953e-19
8697.96756743477 1.0914542675701117e-18 3.719133735202804e-19
8710.190580633505 3.415492019284667e-19 3.3540284283236166e-19
8722.41359383224 9.848546666832672e-19 3.5193524955130114e-19
8734.636607030974 9.547701086041758e-19 3.2213479806043086e-19
8746.859620229709 3.370926622697152e-19 3.39132444975251e-19
8759.082633428443 8.340354213994511e-19 3.1536929552090096e-19
8771.305646627177 3.6197481300668713e-19 3.2940181736331885e-19
8783.528659825912 6.785363145913597e-19 3.06889888519767e-19
8795.751673024646 7.749376245630536e-19 3.258528471808675e-19
8807.97468622338 5.179850228572946e-19 2.982023925715509e-19
8820.197699422115 6.700185179622212e-19 3.462153001297316e-19
8832.42071262085 9.613492486645121e-19 2.9327612003542486e-19
8844.643725819584 1.0097244244085193e-18 3.4065315546341135e-19
8856.866739018318 3.203731248286544e-19 2.923912340717611e-19
8869.089752217053 5.591521782942301e-19 3.3453549579519066e-19
8881.312765415787 6.271757321626596e-19 2.838130925221683e-19
8893.535778614521 7.145898758695559e-19 3.040167017908833e-19
8905.758791813256 4.656527696809503e-19 2.791420192964324e-19
8917.98180501199 7.715330648688487e-19 3.000407120399305e-19
8930.204818210725 1.1196229751033293e-18 2.7439993193089603e-19
8942.427831409459 9.809156296514336e-19 2.995922416521994e-19
8954.650844608193 5.003184375634715e-19 2.6733075027329117e-19
8966.873857806928 4.016224239448356e-19 2.8679371870901036e-19
8979.096871005662 8.053223849394252e-19 2.615218860094572e-19
8991.319884204397 8.052025747730145e-19 2.814259659134132e-19
9003.542897403131 7.722181160435704e-19 2.6107811359422335e-19
9015.765910601865 7.609237988297283e-19 2.7791955012657444e-19
9027.9889238006 1.0485053132852899e-18 2.55530983935514e-19
9040.211936999334 9.646803483866075e-19 2.7712816758816493e-19
9052.434950198069 7.207577754192608e-19 2.532613560329988e-19
9064.657963396803 2.8529014351088633e-19 2.761629256635031e-19
9076.880976595538 3.8555744245336025e-19 2.5198083630401635e-19
9089.103989794272 6.386365529407171e-19 2.7092214539326834e-19
9101.327002993006 8.341007537620234e-19 2.484033644338987e-19
9113.55001619174 1.141002751737751e-18 2.738917855704892e-19
9125.773029390475 1.0654704301072291e-19 2.442599339115507e-19
9137.99604258921 9.777754900530122e-19 2.6859772233126063e-19
9150.219055787944 5.97663746180105e-19 2.844386140692277e-19
9162.442068986678 5.764994319634849e-19 2.5950786040161666e-19
9174.665082185415 2.554579804579695e-19 2.37578656880179e-19
9186.888095384149 1.0361387925772143e-18 2.6119360214561863e-19
9199.111108582883 9.33124620736676e-19 2.329077457580061e-19
9211.334121781618 3.928614934647717e-19 2.4711653896202866e-19
9223.557134980352 8.795652838261025e-19 2.285970478672657e-19
9235.780148179087 1.1022223186794695e-18 2.431500006797506e-19
9248.003161377821 8.796022893681033e-19 2.2688141165234293e-19
9260.226174576555 1.3070750744248707e-18 2.391171928010944e-19
9272.44918777529 8.280630570535639e-19 2.190748047931068e-19
9284.672200974024 9.387927792492142e-19 2.341548172096881e-19
9296.895214172759 1.326387483630869e-18 2.179044098882005e-19
9309.118227371493 1.4631282962651388e-18 2.3868865871848163e-19
9321.341240570227 1.1366986600360274e-18 2.229244793866191e-19
9333.564253768962 1.3814617566271626e-18 2.3085324204929344e-19
9345.787266967696 1.2871707688030205e-18 2.1438146139488258e-19
9358.01028016643 1.2101842549444289e-18 2.2763486522641775e-19
9370.233293365165 1.0205197244700488e-18 2.1535230206992636e-19
9382.4563065639 1.1249119830955935e-18 2.254181059307759e-19
9394.679319762634 1.4358167273646669e-18 2.2264160390100208e-19
9406.902332961368 1.3279571013003105e-18 2.3064907423790632e-19
9419.125346160103 1.074440641414075e-18 2.2240775869949045e-19
9431.348359358837 1.4811368603873816e-18 2.222837972913881e-19
9443.571372557573 1.3930874835191675e-18 2.0880468682328368e-19
9455.794385756306 1.1927929074955867e-18 2.1865098098461095e-19
9468.017398955042 1.156926728432813e-18 2.050404537266029e-19
9480.240412153777 1.0970449557085713e-18 2.1532412045065632e-19
9492.463425352511 1.0521005978279533e-18 2.0335199546939605e-19
9504.686438551245 8.5715393009982065e-19 2.1300653568560295e-19
9516.90945174998 8.927113694427098e-19 2.009814820704802e-19
9529.132464948714 9.179433130882388e-19 2.1490289080538878e-19
9541.355478147449 7.452124983790293e-19 2.0106848484889741e-19
9553.578491346183 1.2070162296240862e-18 2.1476392562566182e-19
9565.801504544917 1.1049889624431673e-18 1.9865792761161293e-19
9578.024517743652 8.934058138339847e-19 2.0742847298285288e-19
9590.247530942386 9.244988142713528e-19 1.9375948822382893e-19
9602.47054414112 1.2837251304104359e-18 2.048508748518601e-19
9614.693557339855 1.0298146741825037e-18 1.921512132479495e-19
9626.91657053859 1.5904965163674239e-18 2.0364387100808473e-19
9639.139583737324 1.2054705889477065e-18 1.9044462466773933e-19
9651.362596936058 1.2150585920461586e-18 2.0432225185053825e-19
9663.585610134793 7.730805451251815e-19 1.9681713980370949e-19
9675.808623333527 9.80337572404543e-19 2.0836200159983755e-19
9688.031636532261 1.1229694909698333e-18 1.911429609871756e-19
9700.254649730996 8.61252718975041e-19 2.00398446988482e-19
9712.47766292973 1.2004625141356609e-18 1.895119662894132e-19
9724.700676128465 1.2686157425653692e-18 1.9926939105862437e-19
