 gid ra dec x_pos y_pos
94 44974 53.151188 -27.700365 758.7797601158027 1024.7891015607893
95 44985 53.147044 -27.700517 978.9254538871182 1015.716161898501
96 44996 53.125789 -27.699776 2108.0632028309437 1060.3014905232158
97 45012 53.148184 -27.700754 918.3676647263756 1001.4839005019167
98 45068 53.137568 -27.700105 1482.3202650351077 1040.5161057521182
99 45116 53.144197 -27.700342 1130.1660811708252 1026.2442574262968
100 45124 53.135505 -27.699488 1591.910504953742 1077.5484811856331
101 45133 53.131203 -27.699451 1820.4495748759864 1079.7881474889255
102 45222 53.153248 -27.699156 649.3272827467417 1097.3031755462398
103 45246 53.134666 -27.6995 1636.481567204576 1076.8329390297913
104 45250 53.114406 -27.698987 2712.7747015728373 1107.6286244460898
105 45257 53.128532 -27.699224 1962.3430443983134 1093.4163835133586
106 45265 53.144778 -27.698812 1099.284845187175 1118.0391111957906
107 45279 53.143292 -27.699208 1178.2315009954318 1094.2926647572276
108 45295 53.136891 -27.698831 1518.2761745360885 1116.9605761439088
109 45313 53.115987 -27.698486 2628.7870097917594 1137.6938696532998
110 45329 53.143588 -27.697075 1162.485060220256 1222.2704505334514
111 45333 53.132301 -27.699285 1762.118686540759 1089.7439199817563
112 45378 53.133653 -27.698659 1690.2916416959315 1127.298083059035
113 45414 53.114293 -27.698459 2718.7799167336807 1139.3083183241251
114 45439 53.138013 -27.698592 1458.6689621620944 1131.2935141459639
115 45464 53.12834 -27.697643 1972.5385505949625 1188.27716393819
116 45465 53.157866 -27.698356 403.9863726100293 1145.2380428258948
117 45474 53.113336 -27.697715 2769.6234369954136 1183.9447796002678
118 45492 53.121131 -27.698076 2355.515235168802 1162.303243702776
119 45495 53.135079 -27.69725 1614.5278295712478 1211.8312245145607
120 45518 53.154087 -27.69793 604.737380405405 1170.8522421223352
121 45531 53.145431 -27.698008 1064.5857816595171 1166.272979942456
122 45532 53.118599 -27.697674 2490.027629393576 1186.420174088511
123 45597 53.111515 -27.695987 2866.373206901285 1287.6170265759392
124 45609 53.149395 -27.697318 853.9905855865063 1207.630987646804
125 45633 53.135278 -27.697626 1603.9582471826461 1189.270083270534
126 45636 53.149815 -27.697213 831.6766914643003 1213.9261483588925
127 45640 53.151544 -27.697615 739.8291060909987 1189.7852556360776
128 45647 53.113113 -27.696047 2781.478123335585 1284.0242017959063
129 45650 53.124096 -27.697595 2198.0003730322906 1191.1635147661182
130 45657 53.119496 -27.69678 2442.376075987294 1240.0617852116084
131 45692 53.155259 -27.68908 542.3346757174941 1701.8380755434773
132 45717 53.127348 -27.697062 2025.2370950593986 1223.1394576576386
133 45738 53.11826 -27.697201 2508.0379853327604 1214.7996372817688
134 45772 53.13391 -27.696965 1676.6294491018025 1228.9371983838428
135 45775 53.158558 -27.694968 367.1649496797954 1348.5081769378194
136 45787 53.127347 -27.696028 2025.2878987913455 1285.1796700037848
137 45788 53.12704 -27.695165 2041.5956611985212 1336.9604365821433
138 45795 53.115091 -27.695807 2676.39652903924 1298.4316238944448
139 45802 53.118688 -27.696464 2485.3019207800508 1259.0205752714792
140 45897 53.149496 -27.695852 848.6058066329106 1295.5901289905123
141 45901 53.157237 -27.695228 437.348997277305 1332.9281289948522
142 45940 53.121124 -27.693125 2355.891042486789 1459.3642644133906
143 45962 53.159562 -27.695761 313.84053565250815 1300.9122967119292
144 45967 53.130319 -27.695903 1867.3980436916654 1292.671905958403
145 45972 53.115984 -27.693568 2628.9626398634327 1432.7748723962432
146 45975 53.155749 -27.69062 516.3262682374525 1609.430796342629
147 45994 53.139181 -27.69415 1396.5840278858986 1397.8064501447188
148 46001 53.120312 -27.691486 2399.0321635780647 1557.7039144817209
149 46064 53.117533 -27.695402 2546.6644921919333 1322.7384841139756
150 46065 53.140164 -27.694579 1344.3642713799645 1372.0591904051726
151 46072 53.138954 -27.695122 1408.651449554406 1339.487839864185
152 46114 53.152149 -27.694737 707.6472301109179 1362.4582717029443
153 46119 53.143876 -27.694824 1147.1617942862567 1357.32831468125
154 46129 53.12153 -27.694728 2334.3205022217835 1363.1841707258682
155 46130 53.161372 -27.694337 217.65600457732853 1386.323186502672
156 46153 53.146855 -27.694923 988.899920013725 1351.3592617013492
157 46173 53.155008 -27.69425 555.7515289427602 1391.6403960884963
158 46186 53.118898 -27.694766 2474.1487776455715 1360.9012851711086
159 46216 53.116811 -27.694081 2585.025255792508 1401.9970266271375
160 46231 53.114142 -27.692526 2726.8266589955956 1495.2889968718664
161 46235 53.140992 -27.693561 1300.3665845842415 1433.1330482908343
162 46267 53.16157 -27.69401 207.13076103624826 1405.93995485903
163 46274 53.15856 -27.691213 366.99301453928547 1573.808986896238
164 46275 53.154834 -27.691168 564.9472416747785 1576.56349917033
165 46312 53.147562 -27.693577 951.323395561606 1432.1121004575689
166 46318 53.157538 -27.690478 421.2773430169318 1617.9247026725752
167 46354 53.154381 -27.691364 589.0172638202521 1564.8096724574243
168 46379 53.11499 -27.69282 2681.7735533621208 1477.6519233454856
169 46382 53.133686 -27.693455 1688.5107405782028 1439.5389994707111
170 46394 53.121747 -27.693347 2322.792778583952 1446.0445694787777
171 46397 53.15369 -27.692805 625.7504384353697 1478.358661409784
172 46399 53.123894 -27.692872 2208.7289599728056 1474.5446083430252
173 46432 53.112446 -27.692631 2816.9301129542937 1488.9820622680745
174 46454 53.162676 -27.692336 148.34005055794205 1506.3615666592123
175 46476 53.133833 -27.691915 1680.6927504658534 1531.9386402539094
176 46486 53.111472 -27.692787 2868.675240910591 1479.6174984721692
177 46496 53.131557 -27.689351 1801.6002452039966 1685.7889770562251
178 46500 53.159825 -27.691227 299.7863441814343 1572.9491196342824
179 46504 53.141657 -27.693088 1265.0328641241622 1461.5078289243938
180 46506 53.125796 -27.691704 2107.679329651618 1544.6231497482404
181 46515 53.129877 -27.692824 1890.8688845056795 1477.4139592681422
182 46518 53.156712 -27.689657 465.147748925262 1667.1971306437663
183 46527 53.120656 -27.693134 2380.754494845937 1458.823887147424
184 46532 53.111925 -27.692528 2844.6099794541087 1495.1597128809626
185 46564 53.157276 -27.690786 435.20216791152507 1599.4485432024921
186 46576 53.155717 -27.691328 518.0377746830245 1566.9510871253297
187 46624 53.119709 -27.692155 2431.067266214891 1517.5630535204727
188 46636 53.155337 -27.69051 538.2133727655064 1616.036643552692
189 46654 53.114279 -27.692097 2719.5499877057964 1521.0295958032002
190 46704 53.121732 -27.69204 2323.59033335408 1524.4648490397485
191 46718 53.111638 -27.691552 2859.8628264246336 1553.7185731378922
192 46744 53.116854 -27.691568 2582.7480514173303 1552.7776854932563
193 46751 53.137872 -27.691246 1466.1052405376458 1572.0559880644432
194 46761 53.161205 -27.69184 226.48122255948965 1536.146521564282
195 46779 53.151016 -27.689413 767.7657927589835 1681.9135500155535
196 46846 53.13743 -27.688071 1489.5650392761136 1762.559564602292
197 46849 53.153455 -27.691381 638.2139777366074 1563.802104763101
198 46866 53.112106 -27.691181 2835.0009338283407 1575.9808505064284
199 46870 53.137067 -27.689972 1508.8643510304 1648.5013848161543
200 46900 53.119709 -27.690903 2431.0691266435997 1592.6833336555683
201 46924 53.131162 -27.688373 1822.582142044047 1744.4706723086565
202 46937 53.133072 -27.691084 1721.1187001693042 1581.802335977034
203 46938 53.134558 -27.690656 1642.1679450169677 1607.4753486957416
204 46955 53.112348 -27.690801 2822.1458875591716 1598.7820340030594
205 46958 53.14244 -27.689822 1223.4029514882395 1657.4620559131727
206 46976 53.14332 -27.690818 1176.659727122128 1597.694193337109
207 47002 53.132783 -27.684872 1736.4422657281602 1954.5250894852143
208 47008 53.155098 -27.689474 550.8946770595257 1678.2002311109463
209 47033 53.138525 -27.690484 1431.4068013581882 1617.771814989981
210 47045 53.13364 -27.688751 1690.9295567246563 1721.7802794366726
211 47047 53.113554 -27.690477 2758.074744951032 1618.2272005386185
212 47059 53.14452 -27.690312 1112.900522717583 1628.0433637481074
213 47066 53.145353 -27.690244 1068.6437863647761 1632.11541634296
214 47094 53.155857 -27.68986 510.57612238784077 1655.029436617031
215 47099 53.143325 -27.690096 1176.3868300543554 1641.0143153373174
216 47114 53.110335 -27.689984 2929.0978916695085 1647.7923246865284
217 47119 53.164463 -27.689961 53.352890659508375 1648.830691000967
218 47120 53.15877 -27.687111 355.76396061106334 1819.9267230410878
219 47122 53.132372 -27.686836 1758.2883727335457 1836.6863417863278
220 47129 53.11806 -27.689896 2518.6797373019263 1653.1008164212035
221 47140 53.131853 -27.687304 1785.8649897800997 1808.608321438016
222 47157 53.112522 -27.684723 2812.931952235219 1963.464267357147
223 47185 53.115584 -27.689827 2650.226472438865 1657.2345068034228
224 47206 53.130548 -27.689796 1855.2089990526756 1659.0924829055148
225 47223 53.164676 -27.688179 42.0 1755.7472861527858
226 47282 53.147886 -27.688265 934.0450783432798 1750.829833041771
227 47283 53.133299 -27.688828 1709.0470081032918 1717.1618361440305
228 47297 53.159731 -27.688992 304.7400025878442 1707.0511484697527
229 47346 53.131256 -27.689063 1817.5908472779947 1703.0701669791088
230 47376 53.143098 -27.688198 1188.4281438195476 1754.8967642520875
231 47378 53.138514 -27.688177 1431.9734493723927 1756.1924300485225
232 47386 53.111667 -27.687388 2858.3446648599847 1803.5596819818784
233 47396 53.134474 -27.687585 1646.6131329955397 1791.7364947718052
234 47397 53.115432 -27.687541 2658.3102026251645 1794.3945717865681
235 47535 53.114576 -27.688483 2703.785535088494 1737.8714895123667
236 47576 53.112088 -27.687268 2835.977619552291 1810.7616834120017
237 47612 53.144379 -27.687591 1120.362884757952 1791.3053268131953
238 47638 53.122074 -27.686891 2305.4224022080643 1833.406170564278
239 47647 53.160304 -27.687473 274.26917022613543 1798.18231955398
240 47656 53.124675 -27.687366 2167.231459023843 1804.9053567186565
241 47666 53.114009 -27.684545 2733.926677703924 1974.1503894167327
242 47710 53.122671 -27.68756 2273.7037064823407 1793.2661060899263
243 47734 53.113122 -27.687374 2781.040787032328 1804.406177929257
244 47768 53.12717 -27.686947 2034.6715341902445 1830.0420488641903
245 47769 53.153138 -27.686134 654.977643278341 1878.627537340184
246 47770 53.149771 -27.685475 833.8592666761533 1918.2093427692234
247 47772 53.143385 -27.686314 1173.160997575159 1867.9346900476194
248 47813 53.149009 -27.686551 874.3587371163912 1853.6578186621882
249 47821 53.145621 -27.685249 1054.3495548597175 1931.8140016293146
250 47841 53.131309 -27.683354 1814.7511420494293 2045.6113807349902
251 47868 53.12312 -27.686594 2249.8482642807403 1851.2263124329183
252 47870 53.11477 -27.684483 2693.4940407943914 1977.873146611826
253 47878 53.117706 -27.68677 2537.4949767960597 1840.6608156788789
254 47880 53.118668 -27.683244 2486.39079623419 2052.2235947245026
255 47910 53.142953 -27.685697 1196.107235652581 1904.958644235554
256 47932 53.138368 -27.686472 1439.7173457851704 1858.4938309405588
257 47951 53.143487 -27.685682 1167.7352965222171 1905.8539386525845
258 47977 53.137322 -27.685219 1495.2827284052992 1933.6809453883398
259 47980 53.125634 -27.685793 2116.2777005189027 1899.2847485716702
260 48001 53.147913 -27.685117 932.5718908355093 1939.7103196150529
261 48006 53.149364 -27.685672 855.4860630121793 1906.3939953506379
262 48014 53.143366 -27.685228 1174.159538805111 1933.0951308276126
263 48026 53.159321 -27.685217 326.4554928006737 1933.558586550047
264 48048 53.1264 -27.684949 2075.5781287250984 1949.9238817175174
265 48089 53.142647 -27.684489 1212.3534856219603 1977.441593372223
266 48123 53.149338 -27.683191 856.8352397812532 2055.254932804997
267 48136 53.124654 -27.685189 2168.3451625446205 1935.5259096378177
268 48194 53.11219 -27.684098 2830.5747216546324 2000.9629397018834
269 48202 53.113211 -27.683506 2776.330254443151 2036.4875130321198
270 48212 53.160135 -27.685131 283.2053432945677 1938.7056407211785
271 48221 53.148008 -27.6837 927.5069659580722 2024.7296526561586
272 48251 53.143441 -27.684336 1170.1657048502611 1986.61469072404
273 48276 53.136288 -27.683079 1550.2059473829731 2062.087754758595
274 48289 53.134716 -27.682433 1633.7256186055374 2100.856559770007
275 48299 53.147294 -27.684147 965.4483340140296 1997.917196163311
276 48318 53.12517 -27.684155 2140.928380202705 1997.5656908732817
277 48371 53.128869 -27.682884 1944.391398144583 2073.8192167326124
278 48387 53.143543 -27.683529 1164.7381105552167 2035.0339878948107
279 48413 53.125019 -27.683545 2148.950551284531 2034.1659999072035
280 48414 53.134581 -27.683658 1640.9055552498567 2027.3569320530987
281 48417 53.135252 -27.68238 1605.246393364615 2104.0337489673875
282 48420 53.135629 -27.682842 1585.2184206371685 2076.311566466189
283 48434 53.127897 -27.683367 1996.0369721694942 2044.8414495719662
284 48444 53.118231 -27.683231 2509.609457153513 2053.0027882589893
285 48464 53.144819 -27.68247 1096.930585393754 2098.5624856211543
286 48472 53.135757 -27.68208 1578.4126733117491 2122.031053741248
287 48475 53.136923 -27.682763 1516.4649626449327 2081.0440473145136
288 48525 53.123447 -27.682729 2232.4733601643647 2083.1272156175364
289 48528 53.138499 -27.681819 1432.721481714264 2137.6741400390274
290 48549 53.136564 -27.682781 1535.5395146037927 2079.966206712528
291 48560 53.114904 -27.681016 2686.387739167335 2185.8945114722555
292 48561 53.151999 -27.682213 715.4372392335545 2113.903188142129
293 48563 53.129329 -27.680606 1919.943331882415 2210.498565332058
294 48584 53.111824 -27.682167 2850.03114500607 2116.821748507282
295 48597 53.138076 -27.677494 1455.164186074352 2397.1781684486887
296 48623 53.122159 -27.68168 2300.9078506523156 2146.067521406221
297 48631 53.125876 -27.679112 2103.409887928715 2300.146192467484
298 48650 53.1288 -27.682063 1948.055084195953 2123.079613479138
299 48652 53.130081 -27.681153 1879.9891462854348 2177.6761647041567
300 48706 53.13263 -27.68152 1744.5551462226513 2155.6466175286478
301 48711 53.151783 -27.681356 726.9016827054993 2165.3261313709263
302 48716 53.132054 -27.681878 1775.1612223870843 2134.168901978752
303 48721 53.151836 -27.680615 724.0751158390967 2209.7856708382533
304 48724 53.136438 -27.681677 1542.226779202042 2146.207245504611
305 48749 53.119642 -27.680618 2434.6443318030315 2209.7858003169204
306 48760 53.117402 -27.68096 2553.6617261265683 2189.2616269005557
307 48761 53.138446 -27.680653 1435.5285690315568 2207.634813404413
308 48763 53.113237 -27.680966 2774.9606333056518 2188.8882911519468
