 gid ra dec x_pos y_pos
86 40095 53.070827 -27.723759 688.6354371348552 774.2600458201887
87 40114 53.056299 -27.723212 1460.2662009562519 806.709301664654
88 40142 53.05114 -27.723351 1734.268260020006 798.2157053587725
89 40184 53.075875 -27.722269 420.55958829484734 863.7677673172511
90 40192 53.052048 -27.722636 1686.0669448663793 841.143665779171
91 40238 53.063496 -27.720249 1078.1020166537328 984.6847683139058
92 40300 53.061082 -27.722169 1206.2609997167638 869.4215701174326
93 40331 53.048543 -27.721863 1872.2549660884288 887.4142619998747
94 40360 53.060322 -27.722244 1246.624523492037 864.9012247423598
95 40362 53.077997 -27.721986 307.86032614247597 880.7897259175315
96 40394 53.056659 -27.721718 1441.1939684306853 896.3597922798945
97 40398 53.073607 -27.721555 541.0366574406817 906.56090327536
