wavelength flux error
5060 0.005733054535687441 9.283912342424112e-05
5065 0.00565663661436256 9.330279245370907e-05
5070 0.005827350465033271 9.3029089782172e-05
5075 0.005948254961776732 9.350443503404311e-05
5080 0.005796116172357548 9.326471025384428e-05
5085 0.0057951812407780485 9.178705478782322e-05
5090 0.005753096689766603 9.22039510438772e-05
5095 0.00579984227402322 9.152461435431223e-05
5100 0.005859705951189071 9.157411286152822e-05
5105 0.0058218651972541295 9.131665857662876e-05
5110 0.00574479907813121 9.078655047915367e-05
5115 0.005804383042980346 9.087788893475983e-05
5120 0.005693111169681263 9.094035398017215e-05
5125 0.0057089236329037115 9.10229762272835e-05
5130 0.005682407213827386 9.104893465351207e-05
5135 0.005653393833855908 8.992453363984393e-05
5140 0.005676253471367694 9.064614767351494e-05
5145 0.005566254436116318 9.075527795005633e-05
5150 0.005646329795135162 9.174335218342636e-05
5155 0.005661507320472942 9.237869634366712e-05
5160 0.005697688714417828 9.225761352286929e-05
5165 0.005702805968177497 9.377962155520152e-05
5170 0.005624558326178689 9.40127271242163e-05
5175 0.005468741467104713 9.560274266179215e-05
5180 0.005449076450903221 9.66013897506151e-05
5185 0.005662712868855078 9.714571976859491e-05
5190 0.005649525756103092 9.809382063623174e-05
5195 0.005700905586939952 9.792102271140886e-05
5200 0.00574813090057608 9.90845819582652e-05
5205 0.00574287168632114 9.987498825023842e-05
5210 0.00586502455910752 0.00010032541421352894
5215 0.005718797378257451 0.0001002348460491981
5220 0.005626755742864679 9.969762320368948e-05
5225 0.0056835239493323786 0.00010114254204178841
5230 0.005705799206174196 0.00010082035623989315
5235 0.005608658974387784 0.00010081868508169691
5240 0.005744455813253796 0.00010160808456516819
5245 0.005718728784113428 0.00010096780159638165
5250 0.0056944447425088755 0.00010177377599452901
5255 0.0058607939235376435 0.00010127782359892119
5260 0.0057695757718175455 0.00010156194388526982
5265 0.005943850397297095 0.0001016565462720678
5270 0.005789414892944187 0.0001021540100309749
5275 0.005730623589806222 0.0001028613491951993
5280 0.005751176241028829 0.0001013161776059676
5285 0.005690457722478668 0.00010138699770773329
5290 0.005721048123592356 0.00010097284575766083
5295 0.005815267789162689 0.00010150296327482448
5300 0.0059437310801097 0.00010138548437933144
5305 0.00601959437131947 0.00010040999136891763
5310 0.005936094859194524 0.00010121615655783344
5315 0.005950139429797117 0.00010053813169574333
5320 0.005894633314564786 0.00010117158738320854
5325 0.0060350496006892455 0.00010070668764351527
5330 0.006071429379495585 0.00010035529300421982
5335 0.006071038396911356 0.00010052340641167669
5340 0.005971018098798877 9.960253850246388e-05
5345 0.005845268200377441 0.00010081815063773591
5350 0.005827291138736295 0.00010067404798588574
5355 0.005876822974282514 0.0001013814857217662
5360 0.006033853905516805 0.00010088615074072623
5365 0.005977842111028849 9.994645971782846e-05
5370 0.005989706726625109 9.949614332058679e-05
5375 0.006158758976499836 9.86142868283214e-05
5380 0.006037251493326527 9.985074011089296e-05
5385 0.006003362231995266 9.89082099090314e-05
5390 0.006001990972930009 9.966659677088898e-05
5395 0.005918386028412663 0.00010052621021211069
5400 0.0058982809272264975 9.999304655387854e-05
5405 0.005895416413706519 0.0001007110371365315
5410 0.0059834275665162 9.913511401777645e-05
5415 0.005974700942234231 0.00010056345026929476
5420 0.005969804451060914 9.999076097211088e-05
5425 0.00589840796552777 0.00010031176951035284
5430 0.005937302563629831 0.00010067448291149426
5435 0.0058931324884376685 0.00010113948589461826
5440 0.005853188129399702 0.00010187094942972552
5445 0.005905298357910291 0.00010139164552418912
5450 0.005883381524972061 0.00010218181389137211
5455 0.005940012635381707 0.00010248810714355705
5460 0.006001914665830265 0.00010339647110480019
5465 0.006020498821907465 0.00010525797061046243
5470 0.005970188443041262 0.00010550856521992061
5475 0.005935027185860725 0.00010606228773851765
5480 0.00584271180420054 0.0001054006560477773
5485 0.005882023403637076 0.00010568056205406627
5490 0.005790749416414508 0.00010562317494251633
5495 0.005825001749539802 0.00010455722835132408
