nan 3.4049 3.3054 3.203 3.1074 3.007 2.913 2.8222 2.7539 2.6841 2.614 2.5585 2.5041 2.4644 2.4131 2.3761 2.3522 2.3174 2.2842 2.2628 2.2422 2.2222 2.2028 2.1842 2.1662 2.1488 2.1404 2.124 2.1082 2.1006 2.0857
nan 3.5049 3.4054 3.303 3.2073 3.1065 3.0116 2.9195 2.8498 2.7783 2.7061 2.6488 2.5925 2.5512 2.4978 2.4592 2.4342 2.3979 2.3631 2.3407 2.319 2.298 2.2777 2.2581 2.2392 2.2209 2.212 2.1948 2.1782 2.1701 2.1544
nan 3.6049 3.5054 3.403 3.3072 3.2061 3.1104 3.017 2.9461 2.8729 2.7988 2.7397 2.6814 2.6386 2.5832 2.543 2.5169 2.479 2.4426 2.4192 2.3965 2.3745 2.3532 2.3326 2.3127 2.2936 2.2842 2.2661 2.2486 2.2401 2.2236
nan 3.7049 3.6054 3.503 3.4071 3.3057 3.2094 3.1149 3.0427 2.968 2.8919 2.8311 2.771 2.7267 2.6691 2.6273 2.6002 2.5607 2.5227 2.4983 2.4745 2.4515 2.4292 2.4077 2.3868 2.3667 2.3569 2.3379 2.3196 2.3106 2.2933
nan 3.8049 3.7054 3.603 3.5071 3.4054 3.3085 3.2129 3.1396 3.0634 2.9856 2.923 2.8611 2.8153 2.7557 2.7123 2.6841 2.643 2.6034 2.5779 2.5532 2.5291 2.5058 2.4833 2.4615 2.4404 2.4302 2.4102 2.391 2.3816 2.3635
nan 3.9049 3.8054 3.703 3.607 3.5052 3.4077 3.3112 3.2368 3.1592 3.0796 3.0155 2.9517 2.9045 2.8428 2.7979 2.7686 2.7259 2.6848 2.6582 2.6324 2.6073 2.583 2.5594 2.5367 2.5146 2.5039 2.4831 2.4629 2.4531 2.4341
nan 4.0049 3.9054 3.803 3.707 3.6049 3.507 3.4096 3.3343 3.2554 3.1741 3.1084 3.0428 2.9942 2.9305 2.884 2.8537 2.8094 2.7667 2.739 2.7122 2.686 2.6607 2.6361 2.6124 2.5894 2.5782 2.5564 2.5353 2.5251 2.5052
nan 4.1049 4.0054 3.903 3.807 3.7048 3.6064 3.5082 3.432 3.3518 3.2689 3.2017 3.1344 3.0844 3.0188 2.9707 2.9394 2.8935 2.8491 2.8204 2.7925 2.7653 2.739 2.7134 2.6886 2.6646 2.653 2.6302 2.6082 2.5975 2.5768
nan 4.2049 4.1054 4.003 3.907 3.8046 3.7059 3.607 3.5299 3.4485 3.3641 3.2954 3.2265 3.1751 3.1075 3.058 3.0256 2.9781 2.9321 2.9024 2.8734 2.8452 2.8178 2.7911 2.7654 2.7404 2.7282 2.7045 2.6816 2.6705 2.6488
nan 4.3049 4.2054 4.103 4.0069 3.9045 3.8054 3.7059 3.628 3.5455 3.4597 3.3895 3.319 3.2662 3.1968 3.1457 3.1123 3.0633 3.0157 2.9849 2.9548 2.9255 2.8971 2.8694 2.8426 2.8167 2.804 2.7793 2.7554 2.7438 2.7212
nan 4.4049 4.3054 4.203 4.1069 4.0044 3.905 3.8049 3.7263 3.6428 3.5555 3.484 3.4119 3.3579 3.2865 3.234 3.1995 3.1489 3.0998 3.0679 3.0368 3.0064 2.9769 2.9482 2.9204 2.8934 2.8802 2.8546 2.8298 2.8177 2.7941
nan 4.5049 4.4054 4.303 4.2069 4.1043 4.0047 3.904 3.8248 3.7403 3.6517 3.5789 3.5052 3.4499 3.3768 3.3227 3.2873 3.2351 3.1844 3.1514 3.1192 3.0878 3.0572 3.0275 2.9986 2.9706 2.957 2.9303 2.9045 2.892 2.8675
nan 4.6049 4.5054 4.403 4.3069 4.2042 4.1044 4.0032 3.9234 3.838 3.7481 3.6741 3.5989 3.5424 3.4674 3.4119 3.3755 3.3218 3.2694 3.2354 3.2022 3.1697 3.1381 3.1073 3.0774 3.0484 3.0342 3.0065 2.9798 2.9667 2.9413
nan 4.7049 4.6054 4.503 4.4069 4.3041 4.2041 4.1025 4.0221 3.9358 3.8448 3.7695 3.693 3.6352 3.5585 3.5016 3.4642 3.4089 3.355 3.32 3.2856 3.2521 3.2194 3.1876 3.1566 3.1265 3.1119 3.0832 3.0554 3.0419 3.0155
nan 4.8049 4.7054 4.603 4.5069 4.4041 4.3039 4.2019 4.1209 4.0339 3.9418 3.8653 3.7874 3.7285 3.65 3.5917 3.5533 3.4965 3.4411 3.405 3.3696 3.335 3.3012 3.2683 3.2363 3.2052 3.19 3.1603 3.1315 3.1175 3.0902
nan 4.9049 4.8054 4.703 4.6069 4.504 4.4037 4.3013 4.2199 4.1321 4.0389 3.9614 3.8821 3.822 3.7419 3.6822 3.6428 3.5846 3.5276 3.4904 3.454 3.4183 3.3835 3.3495 3.3165 3.2843 3.2686 3.2379 3.2081 3.1936 3.1653
nan 5.0049 4.9054 4.803 4.7069 4.604 4.5035 4.4008 4.319 4.2305 4.1363 4.0577 3.9771 3.916 3.8342 3.7732 3.7328 3.6731 3.6146 3.5764 3.5388 3.5021 3.4662 3.4312 3.3971 3.3639 3.3476 3.3159 3.2851 3.2701 3.2408
nan 5.1049 5.0054 4.903 4.8069 4.704 4.6034 4.5004 4.4181 4.329 4.2338 4.1542 4.0725 4.0102 3.9268 3.8645 3.8232 3.762 3.702 3.6627 3.6242 3.5864 3.5494 3.5133 3.4781 3.4439 3.4271 3.3943 3.3625 3.347 3.3167
nan 5.2049 5.1054 5.003 4.9069 4.8039 4.7032 4.6 4.5174 4.4276 4.3316 4.251 4.1681 4.1048 4.0198 3.9562 3.914 3.8514 3.7898 3.7495 3.7099 3.6711 3.6331 3.5959 3.5597 3.5243 3.5071 3.4732 3.4404 3.4244 3.393
nan 5.3049 5.2054 5.103 5.0069 4.9039 4.8031 4.6997 4.6167 4.5264 4.4295 4.348 4.2639 4.1996 4.1132 4.0482 4.0052 3.9411 3.8781 3.8368 3.7961 3.7562 3.7171 3.6789 3.6416 3.6052 3.5874 3.5525 3.5187 3.5021 3.4698
nan 5.4049 5.3054 5.203 5.1069 5.0039 4.903 4.7994 4.7161 4.6253 4.5276 4.4452 4.36 4.2948 4.2068 4.1407 4.0967 4.0313 3.9667 3.9244 3.8827 3.8418 3.8016 3.7624 3.724 3.6865 3.6682 3.6323 3.5974 3.5803 3.5469
nan 5.5049 5.4054 5.303 5.2069 5.1039 5.0029 4.8991 4.8155 4.7242 4.6258 4.5426 4.4564 4.3902 4.3008 4.2334 4.1886 4.1218 4.0558 4.0125 3.9698 3.9278 3.8866 3.8462 3.8068 3.7683 3.7494 3.7124 3.6765 3.6589 3.6245
nan 5.6049 5.5054 5.403 5.3069 5.2039 5.1029 4.9989 4.915 4.8233 4.7241 4.6402 4.5529 4.4859 4.395 4.3265 4.2808 4.2126 4.1452 4.1009 4.0572 4.0142 3.9719 3.9305 3.89 3.8504 3.831 3.793 3.756 3.7378 3.7024
nan 5.7049 5.6054 5.503 5.4069 5.3039 5.2028 5.0986 5.0146 4.9224 4.8226 4.7379 4.6497 4.5818 4.4896 4.4199 4.3734 4.3039 4.235 4.1897 4.145 4.1009 4.0576 4.0152 3.9736 3.933 3.913 3.8739 3.8359 3.8172 3.7808
nan 5.8049 5.7054 5.603 5.5069 5.4038 5.3028 5.1985 5.1142 5.0216 4.9212 4.8358 4.7467 4.6779 4.5844 4.5136 4.4662 4.3954 4.3252 4.2789 4.2332 4.1881 4.1438 4.1002 4.0576 4.0159 3.9954 3.9553 3.9161 3.897 3.8595
nan 5.9049 5.8054 5.703 5.6069 5.5038 5.4027 5.2983 5.2138 5.1209 5.0199 4.9338 4.8438 4.7742 4.6795 4.6075 4.5594 4.4873 4.4157 4.3685 4.3218 4.2757 4.2303 4.1857 4.142 4.0993 4.0782 4.037 3.9968 3.9771 3.9386
