filename field pointing_angle
/Users/Vince.ec/Clear_data/flt_files/icxt14roq_flt.fits GS5 193.498398
/Users/Vince.ec/Clear_data/flt_files/icxt14rqq_flt.fits GS5 193.498505
/Users/Vince.ec/Clear_data/flt_files/icxt14rtq_flt.fits GS5 193.498398
/Users/Vince.ec/Clear_data/flt_files/icxt14rvq_flt.fits GS5 193.498306
/Users/Vince.ec/Clear_data/flt_files/icxt15emq_flt.fits GS5 172.832596
/Users/Vince.ec/Clear_data/flt_files/icxt15enq_flt.fits GS5 172.832504
/Users/Vince.ec/Clear_data/flt_files/icxt15esq_flt.fits GS5 172.832397
/Users/Vince.ec/Clear_data/flt_files/icxt15ewq_flt.fits GS5 172.832504
/Users/Vince.ec/Clear_data/flt_files/icxt16jzq_flt.fits GS5 172.832596
/Users/Vince.ec/Clear_data/flt_files/icxt16k0q_flt.fits GS5 172.832504
/Users/Vince.ec/Clear_data/flt_files/icxt16k3q_flt.fits GS5 172.832397
/Users/Vince.ec/Clear_data/flt_files/icxt16k5q_flt.fits GS5 172.832504
/Users/Vince.ec/Clear_data/flt_files/icxt17aiq_flt.fits GS5 215.499298
/Users/Vince.ec/Clear_data/flt_files/icxt17akq_flt.fits GS5 215.499298
/Users/Vince.ec/Clear_data/flt_files/icxt17anq_flt.fits GS5 215.499207
/Users/Vince.ec/Clear_data/flt_files/icxt17apq_flt.fits GS5 215.499207
/Users/Vince.ec/Clear_data/flt_files/icxt18ykq_flt.fits GS5 215.499298
/Users/Vince.ec/Clear_data/flt_files/icxt18ynq_flt.fits GS5 215.499298
/Users/Vince.ec/Clear_data/flt_files/icxt18zgq_flt.fits GS5 215.499207
/Users/Vince.ec/Clear_data/flt_files/icxt18zjq_flt.fits GS5 215.499207
/Users/Vince.ec/Clear_data/flt_files/icxt19o6q_flt.fits ERSPRIME 122.339699
/Users/Vince.ec/Clear_data/flt_files/icxt19o7q_flt.fits ERSPRIME 122.339897
/Users/Vince.ec/Clear_data/flt_files/icxt19oaq_flt.fits ERSPRIME 122.339798
/Users/Vince.ec/Clear_data/flt_files/icxt19ocq_flt.fits ERSPRIME 122.3396
/Users/Vince.ec/Clear_data/flt_files/icxt20f7q_flt.fits ERSPRIME 92.340401
/Users/Vince.ec/Clear_data/flt_files/icxt20f8q_flt.fits ERSPRIME 92.340591
/Users/Vince.ec/Clear_data/flt_files/icxt20fbq_flt.fits ERSPRIME 92.340622
/Users/Vince.ec/Clear_data/flt_files/icxt20fdq_flt.fits ERSPRIME 92.340431
/Users/Vince.ec/Clear_data/flt_files/icxt21b7q_flt.fits ERSPRIME 92.340401
/Users/Vince.ec/Clear_data/flt_files/icxt21b8q_flt.fits ERSPRIME 92.340591
/Users/Vince.ec/Clear_data/flt_files/icxt21bcq_flt.fits ERSPRIME 92.340622
/Users/Vince.ec/Clear_data/flt_files/icxt21beq_flt.fits ERSPRIME 92.340431
/Users/Vince.ec/Clear_data/flt_files/icxt22pmq_flt.fits ERSPRIME 142.3396
/Users/Vince.ec/Clear_data/flt_files/icxt22pnq_flt.fits ERSPRIME 142.339706
/Users/Vince.ec/Clear_data/flt_files/icxt22pqq_flt.fits ERSPRIME 142.339706
/Users/Vince.ec/Clear_data/flt_files/icxt22psq_flt.fits ERSPRIME 142.339493
/Users/Vince.ec/Clear_data/flt_files/icxt23pvq_flt.fits ERSPRIME 142.3396
/Users/Vince.ec/Clear_data/flt_files/icxt23pwq_flt.fits ERSPRIME 142.339706
/Users/Vince.ec/Clear_data/flt_files/icxt23pzq_flt.fits ERSPRIME 142.339706
/Users/Vince.ec/Clear_data/flt_files/icxt23q1q_flt.fits ERSPRIME 142.339493
/Users/Vince.ec/Clear_data/flt_files/icxt24a5q_flt.fits GS4 73.624687
/Users/Vince.ec/Clear_data/flt_files/icxt24a7q_flt.fits GS4 73.624542
/Users/Vince.ec/Clear_data/flt_files/icxt24z2q_flt.fits GS4 73.624474
/Users/Vince.ec/Clear_data/flt_files/icxt24z4q_flt.fits GS4 73.624619
/Users/Vince.ec/Clear_data/flt_files/icxt25buq_flt.fits GS4 73.624474
/Users/Vince.ec/Clear_data/flt_files/icxt25bwq_flt.fits GS4 73.624619
/Users/Vince.ec/Clear_data/flt_files/icxt25c3q_flt.fits GS4 73.624687
/Users/Vince.ec/Clear_data/flt_files/icxt25c5q_flt.fits GS4 73.624542
/Users/Vince.ec/Clear_data/flt_files/icxt26h8q_flt.fits GS4 50.779369
/Users/Vince.ec/Clear_data/flt_files/icxt26h9q_flt.fits GS4 50.779449
/Users/Vince.ec/Clear_data/flt_files/icxt26hcq_flt.fits GS4 50.77956
/Users/Vince.ec/Clear_data/flt_files/icxt26heq_flt.fits GS4 50.77948
/Users/Vince.ec/Clear_data/flt_files/icxt27hhq_flt.fits GS4 50.779369
/Users/Vince.ec/Clear_data/flt_files/icxt27hiq_flt.fits GS4 50.779449
/Users/Vince.ec/Clear_data/flt_files/icxt27hlq_flt.fits GS4 50.77956
/Users/Vince.ec/Clear_data/flt_files/icxt27hnq_flt.fits GS4 50.77948
/Users/Vince.ec/Clear_data/flt_files/icxt28w5q_flt.fits GS4 93.623718
/Users/Vince.ec/Clear_data/flt_files/icxt28w6q_flt.fits GS4 93.623901
/Users/Vince.ec/Clear_data/flt_files/icxt28w9q_flt.fits GS4 93.623932
/Users/Vince.ec/Clear_data/flt_files/icxt28wbq_flt.fits GS4 93.623741
/Users/Vince.ec/Clear_data/flt_files/icxt29yaq_flt.fits GS4 93.623718
/Users/Vince.ec/Clear_data/flt_files/icxt29ybq_flt.fits GS4 93.623901
/Users/Vince.ec/Clear_data/flt_files/icxt29yeq_flt.fits GS4 93.623932
/Users/Vince.ec/Clear_data/flt_files/icxt29ygq_flt.fits GS4 93.623741
/Users/Vince.ec/Clear_data/flt_files/icxt30s0q_flt.fits GS3 193.040894
/Users/Vince.ec/Clear_data/flt_files/icxt30s2q_flt.fits GS3 193.040894
/Users/Vince.ec/Clear_data/flt_files/icxt30s5q_flt.fits GS3 193.040802
