P(z) z
1358.8823868330048 3.360771391069551
1347.9487315983174 3.4043791049802468
1326.2883382187858 3.448422896030049
1305.8999786746813 3.49290712499035
1291.646896608156 3.5378361962402534
1267.6018614499228 3.583214558202656
1237.1205500093913 3.6290467037846827
1199.203853616542 3.6753371708225298
1155.688882514226 3.722090542530755
1121.6682951471482 3.7693114479560625
1077.1242667890415 3.8170045624356232
1028.9634015328484 3.8651746080599794
988.6442215154822 3.9138263541405793
958.0942739838241 3.962964617681985
935.172982952444 4.012594263858805
917.0617504286492 4.062720206497393
902.8187286820674 4.113347408562367
892.3743249296974 4.16448088264799
888.4611071897298 4.2161256914744705
879.3548506477939 4.268286948389215
876.03508791294 4.320969817873107
873.9638974458591 4.3741795160518375
871.9660397956895 4.427921311212356
873.2061358301798 4.48220052432448
883.3056220574916 4.537022529567724
892.3952895349033 4.592392754863401
910.1560886333997 4.648316682412036
938.5528890171573 4.7047998492361565
966.1474717968132 4.761847847728518
990.5803184174828 4.819466326205803
1009.6890164079578 4.877660989467861
1009.3241469273892 4.93643759936254
1004.8038031732868 4.995801975356165
1007.9371515392544 5.055759995109726
1036.8817359479197 5.116317595060823
1039.1903190085218 5.177480771011432
1032.2383871702234 5.239255578721546
1024.0332266030027 5.301648134508762
1021.2710906136598 5.364664615853849
1021.5339389053272 5.428311262012388
1024.2371324664712 5.492594374632511
1044.033337564914 5.557520318378836
1082.4433785750077 5.623095521562624
1140.3350746341641 5.689326476778251
1214.8971157022117 5.756219741546033
1306.9041478999304 5.823781938961494
1406.162997128864 5.8920197583511085
1500.5501807691 5.960939955934619
