wv fl
3444.8874259861163 987.4615478515625
3445.8868131128893 1094.632080078125
3446.8862002396622 1168.445068359375
3447.885587366435 1215.311767578125
3448.884974493208 1199.583740234375
3449.884361619981 1206.947265625
3450.883748746754 1266.8509521484375
3451.883135873527 1262.015869140625
3452.8825230003 1206.17431640625
3453.881910127073 1299.408935546875
3454.881297253846 1306.4063720703125
3455.8806843806187 1366.358154296875
3456.8800715073917 1300.5521240234375
3457.8794586341646 1281.79150390625
3458.8788457609376 1195.10546875
3459.8782328877105 1290.9310302734375
3460.8776200144835 1288.2086181640625
3461.8770071412564 1201.83056640625
3462.8763942680293 1354.2794189453125
3463.8757813948023 1430.9998779296875
3464.8751685215752 1336.7681884765625
3465.874555648348 1335.6361083984375
3466.873942775121 1364.41455078125
3467.873329901894 1310.3736572265625
3468.872717028667 1440.4560546875
3469.87210415544 1466.576904296875
3470.871491282213 1448.3505859375
3471.870878408986 1401.8900146484375
3472.870265535759 1414.335693359375
3473.8696526625317 1359.301025390625
3474.8690397893047 1239.033203125
3475.8684269160776 1226.6820068359375
3476.8678140428506 1270.77099609375
3477.8672011696235 1271.42041015625
3478.8665882963965 1408.9530029296875
3479.8659754231694 1452.06201171875
3480.8653625499423 1415.54345703125
3481.8647496767153 1436.790283203125
3482.8641368034882 1421.0299072265625
3483.863523930261 1423.49365234375
3484.862911057034 1391.910400390625
3485.862298183807 1435.24609375
3486.86168531058 1532.603515625
3487.861072437353 1512.77099609375
3488.860459564126 1369.11279296875
3489.859846690899 1389.0977783203125
3490.859233817672 1309.397705078125
3491.8586209444447 1335.927001953125
3492.8580080712177 1456.474609375
3493.8573951979906 1390.9715576171875
3494.8567823247636 1330.783935546875
3495.8561694515365 1348.83935546875
3496.8555565783095 1378.4853515625
3497.8549437050824 1418.277099609375
3498.8543308318553 1414.71142578125
3499.8537179586283 1581.019287109375
3500.8531050854012 1606.04052734375
3501.852492212174 1577.03759765625
3502.851879338947 1730.0322265625
3503.85126646572 1688.686767578125
3504.850653592493 1594.3592529296875
3505.850040719266 1578.84375
3506.849427846039 1618.042236328125
3507.848814972812 1642.1337890625
3508.848202099585 1592.295166015625
3509.8475892263577 1538.947265625
3510.8469763531307 1574.34521484375
3511.8463634799036 1561.983154296875
3512.8457506066766 1462.9384765625
3513.8451377334495 1502.998779296875
3514.8445248602225 1364.0081787109375
3515.8439119869954 1424.89990234375
3516.8432991137684 1586.8304443359375
3517.8426862405413 1746.598876953125
3518.8420733673142 1710.239501953125
3519.841460494087 1675.025390625
3520.84084762086 1597.8358154296875
3521.840234747633 1606.7110595703125
3522.839621874406 1538.120849609375
3523.839009001179 1443.78466796875
3524.838396127952 1333.158935546875
3525.837783254725 1405.8492431640625
3526.837170381498 1417.648193359375
3527.8365575082707 1489.493896484375
3528.8359446350437 1589.69140625
3529.8353317618166 1680.9783935546875
3530.8347188885896 1678.2283935546875
3531.8341060153625 1591.96240234375
3532.8334931421355 1585.0206298828125
3533.8328802689084 1694.7418212890625
3534.8322673956814 1744.5234375
3535.8316545224543 1803.923828125
3536.8310416492272 1626.61962890625
3537.830428776 1603.2093505859375
3538.829815902773 1844.914306640625
3539.829203029546 1744.43603515625
3540.828590156319 1736.2607421875
3541.827977283092 1763.5604248046875
3542.827364409865 1654.5093994140625
3543.826751536638 1769.992431640625
3544.826138663411 1716.541259765625
3545.8255257901837 1816.146484375
3546.8249129169567 1828.5863037109375
3547.8243000437296 1670.47509765625
3548.8236871705026 1670.92333984375
3549.8230742972755 1747.50732421875
3550.8224614240485 1636.39404296875
3551.8218485508214 1618.46875
3552.8212356775944 1670.192626953125
3553.8206228043673 1644.2796630859375
3554.8200099311402 1529.32421875
3555.819397057913 1501.742919921875
3556.818784184686 1665.39599609375
3557.818171311459 1611.2255859375
3558.817558438232 1592.541748046875
3559.816945565005 1651.6824951171875
3560.816332691778 1706.1141357421875
3561.815719818551 1724.396728515625
3562.815106945324 1684.2335205078125
3563.8144940720967 1680.152587890625
3564.8138811988697 1610.24658203125
3565.8132683256426 1554.909912109375
3566.8126554524156 1451.9921875
3567.8120425791885 1416.968017578125
3568.8114297059615 1487.0418701171875
3569.8108168327344 1438.0692138671875
3570.8102039595074 1441.337158203125
3571.8095910862803 1478.338623046875
3572.8089782130533 1591.455078125
3573.808365339826 1598.066650390625
3574.807752466599 1546.322265625
3575.807139593372 1544.841064453125
3576.806526720145 1691.7928466796875
3577.805913846918 1611.90087890625
3578.805300973691 1443.774169921875
3579.804688100464 1353.63916015625
3580.804075227237 1288.655029296875
3581.8034623540098 1279.5086669921875
3582.8028494807827 1333.58447265625
3583.8022366075556 1416.815185546875
3584.8016237343286 1292.794677734375
3585.8010108611015 1299.87890625
3586.8003979878745 1314.8251953125
3587.7997851146474 1377.34619140625
3588.7991722414204 1491.92138671875
3589.7985593681933 1500.5604248046875
3590.7979464949663 1539.6517333984375
3591.797333621739 1677.536376953125
3592.796720748512 1679.3802490234375
3593.796107875285 1628.7745361328125
3594.795495002058 1708.144287109375
3595.794882128831 1797.9490966796875
3596.794269255604 1883.55419921875
3597.793656382377 2019.8638916015625
3598.79304350915 2054.02587890625
3599.7924306359228 2008.0380859375
3600.7918177626957 2080.34814453125
3601.7912048894686 1906.8017578125
3602.7905920162416 1811.2620849609375
3603.7899791430145 1762.0384521484375
3604.7893662697875 1835.23486328125
3605.7887533965604 1762.9130859375
3606.7881405233334 1650.124267578125
3607.7875276501063 1640.184814453125
3608.7869147768793 1657.24072265625
3609.786301903652 1584.1087646484375
3610.785689030425 1771.1611328125
3611.785076157198 1866.160400390625
3612.784463283971 1867.03076171875
3613.783850410744 1869.001708984375
3614.783237537517 1914.59228515625
3615.78262466429 1931.0859375
3616.782011791063 1815.2559814453125
3617.7813989178358 1728.3330078125
3618.7807860446087 1577.7607421875
3619.7801731713816 1657.521484375
3620.7795602981546 1909.945068359375
3621.7789474249275 1927.303466796875
3622.7783345517005 1958.2705078125
3623.7777216784734 2062.061767578125
3624.7771088052464 2135.49267578125
3625.7764959320193 2170.3828125
3626.7758830587923 2400.780029296875
3627.775270185565 2390.6728515625
3628.774657312338 2262.938232421875
3629.774044439111 2082.590087890625
3630.773431565884 1867.908203125
3631.772818692657 1803.55224609375
3632.77220581943 1792.971923828125
3633.771592946203 1884.0576171875
3634.770980072976 1844.744873046875
3635.7703671997488 2001.5062255859375
3636.7697543265217 2184.64794921875
3637.7691414532947 2170.59033203125
3638.7685285800676 2282.275390625
3639.7679157068405 2343.943115234375
3640.7673028336135 2401.40185546875
3641.7666899603864 2217.3720703125
3642.7660770871594 2085.497314453125
3643.7654642139323 2012.59326171875
3644.7648513407053 1979.3719482421875
3645.764238467478 1933.125244140625
3646.763625594251 2047.254150390625
3647.763012721024 1985.416015625
3648.762399847797 1915.9500732421875
3649.76178697457 1982.2896728515625
3650.761174101343 2108.234375
3651.760561228116 2225.308837890625
3652.759948354889 2298.650634765625
3653.7593354816618 2394.862548828125
3654.7587226084347 2406.2568359375
3655.7581097352077 2394.695556640625
3656.7574968619806 2493.849365234375
3657.7568839887535 2550.715087890625
3658.7562711155265 2590.8017578125
3659.7556582422994 2570.736328125
3660.7550453690724 2596.93359375
3661.7544324958453 2550.64892578125
3662.7538196226183 2451.01953125
3663.753206749391 2404.8662109375
3664.752593876164 2463.242431640625
3665.751981002937 2480.786865234375
3666.75136812971 2483.14013671875
3667.750755256483 2449.42333984375
3668.750142383256 2404.146240234375
3669.749529510029 2372.051513671875
3670.748916636802 2474.85693359375
3671.7483037635748 2434.835205078125
3672.7476908903477 2545.07861328125
3673.7470780171207 2702.400390625
3674.7464651438936 2591.099853515625
3675.7458522706665 2527.2255859375
3676.7452393974395 2495.34130859375
3677.7446265242124 2474.4208984375
3678.7440136509854 2292.177734375
3679.7434007777583 2222.259521484375
3680.7427879045313 2278.19091796875
3681.742175031304 2397.895751953125
3682.741562158077 2393.849609375
3683.74094928485 2428.6337890625
3684.740336411623 2388.402099609375
3685.739723538396 2197.7548828125
3686.739110665169 2150.921875
3687.738497791942 2119.3779296875
3688.737884918715 2230.65673828125
3689.7372720454878 2417.154296875
3690.7366591722607 2586.97705078125
3691.7360462990337 2741.571533203125
3692.7354334258066 2666.05126953125
3693.7348205525795 2657.3759765625
3694.7342076793525 2553.56494140625
3695.7335948061254 2545.921142578125
3696.7329819328984 2603.517333984375
3697.7323690596713 2608.02783203125
3698.7317561864443 2770.3818359375
3699.731143313217 2995.26708984375
3700.73053043999 2908.481201171875
3701.729917566763 2711.685791015625
3702.729304693536 2582.686767578125
3703.728691820309 2375.933349609375
3704.728078947082 2194.37548828125
3705.727466073855 2122.702880859375
3706.726853200628 2082.222900390625
3707.726240327401 2195.2939453125
3708.7256274541737 2260.798828125
3709.7250145809467 2259.660400390625
3710.7244017077196 2490.65283203125
3711.7237888344926 2674.485595703125
3712.7231759612655 2901.5712890625
3713.7225630880384 3004.6337890625
3714.7219502148114 2868.5
3715.7213373415843 2912.29150390625
